Secretaria / Organismo;Programa Operativo;Archivo Fuente;Campo Disponible;Descripcion del campo
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Familiares_Desaparecidos_Nu;Período de la última liquidación de PNC Familiares de Desaparecidos. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Personas_VIH_Hepatitis_Fl;Indica si el CUIL es beneficiario de PNC Personas VIH/Hepatitis en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Personas_VIH_Hepatitis_Vl;Monto bruto de PNC Personas VIH/Hepatitis.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Personas_VIH_Hepatitis_Nu;Período de la primera liquidación de PNC Personas VIH/Hepatitis. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Personas_VIH_Hepatitis_Nu;Período de la última liquidación de PNC Personas VIH/Hepatitis. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Congreso_Fl;Indica si el CUIL es beneficiario de PNC Congreso en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Congreso_Vl;Monto bruto de PNC Congreso.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Congreso_Nu;Período de la primera liquidación de PNC Congreso. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Congreso_Nu;Período de la última liquidación de PNC Congreso. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_PNC_Veteranos_Fl;Indica si el CUIL es beneficiario de PNC Veteranos en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_PNC_Veteranos_Vl;Monto bruto de PNC Veteranos.
ANSES;ANSES;anses;Primer_Periodo_Cobro_PNC_Veteranos_Nu;Período de la primera liquidación de PNC Veteranos. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_PNC_Veteranos_Nu;Período de la última liquidación de PNC Veteranos. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
ANSES;ANSES;anses;Prestacion_Jubilacion_Fl;Indica si el CUIL es beneficiario de Jubilación en el período. 0: no beneficiario, 1: beneficiario.
ANSES;ANSES;anses;Monto_Jubilacion_Vl;Monto bruto de Jubilación.
ANSES;ANSES;anses;Primer_Periodo_Cobro_Jubilacion_Nu;Período de la primera liquidación de Jubilación. Formato: AAAAMM.
ANSES;ANSES;anses;Ultimo_Periodo_Cobro_Jubilacion_Nu;Período de la última liquidación de Jubilación. Toma el valor del período actual en caso de ser beneficiario. Formato: AAAAMM.
